_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5dd88bb1f9af8b7afc4cf5fb,0039,"Wed, 06 Nov 2019 17:31:26 GMT","Wed, 06 Nov 2019 21:46:39 GMT","Wed, 06 Nov 2019 19:30:02 GMT",6.464,2_39_92_436_2019-11-06 17:31:25.610865,0002,CA-318,2-39-92-436,America/Los_Angeles,000001364,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Wed, 06 Nov 2019 17:31:46 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 18:31:26 GMT"",""userID"":1364}]"
5dd88bb1f9af8b7afc4cf5fc,0039,"Wed, 06 Nov 2019 17:35:57 GMT","Thu, 07 Nov 2019 01:35:28 GMT","Wed, 06 Nov 2019 18:18:22 GMT",1.828,2_39_90_26_2019-11-06 17:35:56.732637,0002,CA-316,2-39-90-26,America/Los_Angeles,000000891,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":113,""modifiedAt"":""Wed, 06 Nov 2019 17:35:57 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 19:28:57 GMT"",""userID"":891}]"
5dd88bb1f9af8b7afc4cf5fd,0039,"Wed, 06 Nov 2019 17:38:34 GMT","Thu, 07 Nov 2019 02:07:58 GMT","Wed, 06 Nov 2019 18:44:34 GMT",3.181,2_39_88_24_2019-11-06 17:38:34.021554,0002,CA-314,2-39-88-24,America/Los_Angeles,000001864,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":390,""modifiedAt"":""Wed, 06 Nov 2019 17:38:44 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 00:08:34 GMT"",""userID"":1864}]"
5dd88bb1f9af8b7afc4cf5fe,0039,"Wed, 06 Nov 2019 17:46:21 GMT","Thu, 07 Nov 2019 02:11:01 GMT","Wed, 06 Nov 2019 19:53:34 GMT",13.95,2_39_79_376_2019-11-06 17:46:21.052229,0002,CA-324,2-39-79-376,America/Los_Angeles,000000714,"[{""WhPerMile"":400,""kWhRequested"":40.0,""milesRequested"":100,""minutesAvailable"":419,""modifiedAt"":""Wed, 06 Nov 2019 17:46:39 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 00:45:21 GMT"",""userID"":714}]"
5dd88bb1f9af8b7afc4cf5ff,0039,"Wed, 06 Nov 2019 17:50:26 GMT","Wed, 06 Nov 2019 20:19:01 GMT","Wed, 06 Nov 2019 18:39:10 GMT",4.137,2_39_95_27_2019-11-06 17:50:26.365270,0002,CA-319,2-39-95-27,America/Los_Angeles,000000668,"[{""WhPerMile"":425,""kWhRequested"":4.25,""milesRequested"":10,""minutesAvailable"":135,""modifiedAt"":""Wed, 06 Nov 2019 17:50:42 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 20:05:26 GMT"",""userID"":668}]"
5dd88bb1f9af8b7afc4cf600,0039,"Wed, 06 Nov 2019 17:53:47 GMT","Wed, 06 Nov 2019 19:11:17 GMT","Wed, 06 Nov 2019 19:11:15 GMT",3.159,2_39_78_365_2019-11-06 17:53:47.206924,0002,CA-321,2-39-78-365,America/Los_Angeles,000000798,"[{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":116,""modifiedAt"":""Wed, 06 Nov 2019 17:54:11 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 19:49:47 GMT"",""userID"":798}]"
5dd88bb1f9af8b7afc4cf601,0039,"Wed, 06 Nov 2019 17:56:16 GMT","Thu, 07 Nov 2019 01:23:32 GMT","Wed, 06 Nov 2019 19:41:15 GMT",1.887,2_39_78_360_2019-11-06 17:56:15.606841,0002,CA-322,2-39-78-360,America/Los_Angeles,000000751,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Wed, 06 Nov 2019 17:56:24 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 18:56:16 GMT"",""userID"":751}]"
5dd88bb1f9af8b7afc4cf602,0039,"Wed, 06 Nov 2019 17:56:38 GMT","Wed, 06 Nov 2019 21:10:20 GMT","Wed, 06 Nov 2019 21:09:21 GMT",7.893,2_39_78_367_2019-11-06 17:56:38.188136,0002,CA-494,2-39-78-367,America/Los_Angeles,000002170,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Wed, 06 Nov 2019 17:56:47 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 18:56:38 GMT"",""userID"":2170}]"
5dd88bb1f9af8b7afc4cf603,0039,"Wed, 06 Nov 2019 18:06:16 GMT","Wed, 06 Nov 2019 19:27:39 GMT","Wed, 06 Nov 2019 18:36:44 GMT",0.861,2_39_79_383_2019-11-06 18:06:16.379197,0002,CA-492,2-39-79-383,America/Los_Angeles,null,null
5dd88bb1f9af8b7afc4cf604,0039,"Wed, 06 Nov 2019 18:08:25 GMT","Thu, 07 Nov 2019 03:13:36 GMT","Wed, 06 Nov 2019 21:02:30 GMT",11.505,2_39_78_364_2019-11-06 18:08:24.663088,0002,CA-495,2-39-78-364,America/Los_Angeles,000000558,"[{""WhPerMile"":400,""kWhRequested"":28.0,""milesRequested"":70,""minutesAvailable"":60,""modifiedAt"":""Wed, 06 Nov 2019 18:08:28 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 19:08:25 GMT"",""userID"":558}]"
5dd88bb1f9af8b7afc4cf605,0039,"Wed, 06 Nov 2019 18:11:02 GMT","Thu, 07 Nov 2019 00:32:50 GMT","Thu, 07 Nov 2019 00:33:49 GMT",11.841,2_39_78_362_2019-11-06 18:11:02.447166,0002,CA-496,2-39-78-362,America/Los_Angeles,000001095,"[{""WhPerMile"":400,""kWhRequested"":12.0,""milesRequested"":30,""minutesAvailable"":480,""modifiedAt"":""Wed, 06 Nov 2019 18:11:10 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 02:11:02 GMT"",""userID"":1095}]"
5dd88bb1f9af8b7afc4cf606,0039,"Wed, 06 Nov 2019 18:13:03 GMT","Thu, 07 Nov 2019 01:07:29 GMT","Wed, 06 Nov 2019 21:16:45 GMT",19.873,2_39_95_444_2019-11-06 18:13:03.079613,0002,CA-497,2-39-95-444,America/Los_Angeles,000000832,"[{""WhPerMile"":400,""kWhRequested"":20.0,""milesRequested"":50,""minutesAvailable"":414,""modifiedAt"":""Wed, 06 Nov 2019 18:13:28 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 01:07:03 GMT"",""userID"":832}]"
5dd88bb1f9af8b7afc4cf607,0039,"Wed, 06 Nov 2019 20:18:21 GMT","Thu, 07 Nov 2019 07:11:40 GMT","Wed, 06 Nov 2019 21:20:28 GMT",2.164,2_39_78_365_2019-11-06 20:18:21.040800,0002,CA-321,2-39-78-365,America/Los_Angeles,000001082,"[{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":291,""modifiedAt"":""Wed, 06 Nov 2019 20:19:08 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 01:09:21 GMT"",""userID"":1082}]"
5dd88bb1f9af8b7afc4cf608,0039,"Wed, 06 Nov 2019 20:31:13 GMT","Thu, 07 Nov 2019 01:04:07 GMT","Thu, 07 Nov 2019 01:03:08 GMT",29.88,2_39_95_27_2019-11-06 20:31:13.454685,0002,CA-319,2-39-95-27,America/Los_Angeles,000003111,"[{""WhPerMile"":250,""kWhRequested"":30.0,""milesRequested"":120,""minutesAvailable"":269,""modifiedAt"":""Wed, 06 Nov 2019 20:31:35 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 01:00:13 GMT"",""userID"":3111}]"
5dd88bb1f9af8b7afc4cf609,0039,"Wed, 06 Nov 2019 21:01:57 GMT","Thu, 07 Nov 2019 01:07:15 GMT","Thu, 07 Nov 2019 00:10:58 GMT",12.693,2_39_79_380_2019-11-06 21:01:57.353703,0002,CA-489,2-39-79-380,America/Los_Angeles,000000069,"[{""WhPerMile"":400,""kWhRequested"":36.0,""milesRequested"":90,""minutesAvailable"":322,""modifiedAt"":""Wed, 06 Nov 2019 21:02:25 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 02:23:57 GMT"",""userID"":69}]"
5dd88bb1f9af8b7afc4cf60a,0039,"Wed, 06 Nov 2019 21:13:51 GMT","Wed, 06 Nov 2019 23:10:10 GMT","Wed, 06 Nov 2019 23:09:50 GMT",5.421,2_39_79_382_2019-11-06 21:13:51.278159,0002,CA-491,2-39-79-382,America/Los_Angeles,000001087,"[{""WhPerMile"":400,""kWhRequested"":20.0,""milesRequested"":50,""minutesAvailable"":173,""modifiedAt"":""Wed, 06 Nov 2019 21:13:58 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 00:06:51 GMT"",""userID"":1087}]"
5dd88bb1f9af8b7afc4cf60b,0039,"Wed, 06 Nov 2019 21:14:03 GMT","Thu, 07 Nov 2019 01:01:33 GMT","Wed, 06 Nov 2019 23:37:57 GMT",6.588,2_39_79_377_2019-11-06 21:14:03.010003,0002,CA-325,2-39-79-377,America/Los_Angeles,000001124,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Wed, 06 Nov 2019 21:14:23 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 22:14:03 GMT"",""userID"":1124}]"
5dd88bb1f9af8b7afc4cf60c,0039,"Wed, 06 Nov 2019 21:26:19 GMT","Wed, 06 Nov 2019 23:56:27 GMT","Wed, 06 Nov 2019 22:26:44 GMT",1.588,2_39_79_378_2019-11-06 21:26:19.036721,0002,CA-326,2-39-79-378,America/Los_Angeles,000000560,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Wed, 06 Nov 2019 21:27:21 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 22:26:19 GMT"",""userID"":560}]"
5dd88bb1f9af8b7afc4cf60d,0039,"Wed, 06 Nov 2019 21:26:54 GMT","Thu, 07 Nov 2019 02:02:23 GMT","Thu, 07 Nov 2019 01:12:53 GMT",0.986,2_39_78_367_2019-11-06 21:26:53.715753,0002,CA-494,2-39-78-367,America/Los_Angeles,null,null
5dd88bb1f9af8b7afc4cf60e,0039,"Wed, 06 Nov 2019 21:58:31 GMT","Thu, 07 Nov 2019 02:10:27 GMT","Thu, 07 Nov 2019 02:10:23 GMT",26.661,2_39_79_383_2019-11-06 21:58:31.121049,0002,CA-492,2-39-79-383,America/Los_Angeles,000000667,"[{""WhPerMile"":250,""kWhRequested"":35.0,""milesRequested"":140,""minutesAvailable"":334,""modifiedAt"":""Wed, 06 Nov 2019 21:58:59 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 03:32:31 GMT"",""userID"":667}]"
5dd88bb1f9af8b7afc4cf60f,0039,"Wed, 06 Nov 2019 22:03:53 GMT","Thu, 07 Nov 2019 01:10:05 GMT","Wed, 06 Nov 2019 22:52:18 GMT",2.406,2_39_91_441_2019-11-06 22:03:53.326799,0002,CA-499,2-39-91-441,America/Los_Angeles,000000858,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":254,""modifiedAt"":""Wed, 06 Nov 2019 22:04:23 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 02:17:53 GMT"",""userID"":858}]"
5dd88bb1f9af8b7afc4cf610,0039,"Wed, 06 Nov 2019 22:31:19 GMT","Thu, 07 Nov 2019 01:17:57 GMT","Wed, 06 Nov 2019 23:02:30 GMT",0.839,2_39_92_436_2019-11-06 22:31:18.935490,0002,CA-318,2-39-92-436,America/Los_Angeles,null,null
5dd88bb1f9af8b7afc4cf611,0039,"Thu, 07 Nov 2019 02:35:58 GMT","Thu, 07 Nov 2019 04:31:57 GMT","Thu, 07 Nov 2019 04:13:10 GMT",5.455,2_39_131_30_2019-11-07 02:35:57.809497,0002,CA-305,2-39-131-30,America/Los_Angeles,000001564,"[{""WhPerMile"":300,""kWhRequested"":12.0,""milesRequested"":40,""minutesAvailable"":156,""modifiedAt"":""Thu, 07 Nov 2019 02:36:32 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 05:11:58 GMT"",""userID"":1564}]"
5dd9dd36f9af8b7ec95087c2,0039,"Thu, 07 Nov 2019 15:09:11 GMT","Thu, 07 Nov 2019 16:44:13 GMT","Thu, 07 Nov 2019 16:45:11 GMT",0.914,2_39_89_25_2019-11-07 15:09:10.818807,0002,CA-315,2-39-89-25,America/Los_Angeles,null,null
5dd9dd36f9af8b7ec95087c3,0039,"Thu, 07 Nov 2019 16:30:39 GMT","Fri, 08 Nov 2019 01:00:04 GMT","Thu, 07 Nov 2019 19:50:10 GMT",8.754,2_39_79_383_2019-11-07 16:30:38.714249,0002,CA-492,2-39-79-383,America/Los_Angeles,000001470,"[{""WhPerMile"":292,""kWhRequested"":14.6,""milesRequested"":50,""minutesAvailable"":395,""modifiedAt"":""Thu, 07 Nov 2019 16:31:00 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 23:05:39 GMT"",""userID"":1470}]"
5dd9dd36f9af8b7ec95087c4,0039,"Thu, 07 Nov 2019 16:32:11 GMT","Fri, 08 Nov 2019 00:33:16 GMT","Thu, 07 Nov 2019 18:11:24 GMT",5.721,2_39_79_379_2019-11-07 16:32:10.644621,0002,CA-327,2-39-79-379,America/Los_Angeles,000000751,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Thu, 07 Nov 2019 16:32:23 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 17:32:11 GMT"",""userID"":751}]"
5dd9dd36f9af8b7ec95087c5,0039,"Thu, 07 Nov 2019 16:44:37 GMT","Thu, 07 Nov 2019 20:19:54 GMT","Thu, 07 Nov 2019 20:19:06 GMT",0.972,2_39_89_25_2019-11-07 16:44:36.906672,0002,CA-315,2-39-89-25,America/Los_Angeles,null,null
5dd9dd36f9af8b7ec95087c6,0039,"Thu, 07 Nov 2019 16:46:59 GMT","Thu, 07 Nov 2019 23:56:54 GMT","Thu, 07 Nov 2019 19:43:31 GMT",10.459,2_39_139_28_2019-11-07 16:46:58.670964,0002,CA-303,2-39-139-28,America/Los_Angeles,000000620,"[{""WhPerMile"":400,""kWhRequested"":12.0,""milesRequested"":30,""minutesAvailable"":469,""modifiedAt"":""Thu, 07 Nov 2019 16:47:33 GMT"",""paymentRequired"":true,""requestedDeparture"":""Fri, 08 Nov 2019 00:35:59 GMT"",""userID"":620}]"
